kind,var,year,filename,path,ok,error,dtype,height,width,crs,nodata,min_val,max_val,nan_count,inf_count,eq_nodata_count,eq_minus9999_count,total_pixels,suspect_pixels,suspect_pct
data,ndvi16,2022,ndvi16_2022_20220525.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2022/ndvi16_2022_20220525.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9385378956794739,0,0,264994,264994,424080,529988,124.97358988870025
data,ndvi16,2023,ndvi16_2023_20230101.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230101.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9348926544189453,0,0,270804,270804,424080,541608,127.7136389360498
data,ndvi16,2023,ndvi16_2023_20230117.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230117.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9145402312278748,0,0,273442,273442,424080,546884,128.9577438219204
data,ndvi16,2023,ndvi16_2023_20230202.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230202.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.907452404499054,0,0,272476,272476,424080,544952,128.50216940199962
data,ndvi16,2023,ndvi16_2023_20230218.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230218.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8608748316764832,0,0,269689,269689,424080,539378,127.18779475570648
data,ndvi16,2023,ndvi16_2023_20230306.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230306.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8924665451049805,0,0,272064,272064,424080,544128,128.30786644029428
data,ndvi16,2023,ndvi16_2023_20230322.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230322.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9294248819351196,0,0,279277,279277,424080,558554,131.70958309752876
data,ndvi16,2023,ndvi16_2023_20230407.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230407.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9189954996109009,0,0,276270,276270,424080,552540,130.291454442558
data,ndvi16,2023,ndvi16_2023_20230423.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230423.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9569663405418396,0,0,280458,280458,424080,560916,132.26655348047538
data,ndvi16,2023,ndvi16_2023_20230509.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230509.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9649655818939209,0,0,275141,275141,424080,550282,129.75900773438974
data,ndvi16,2023,ndvi16_2023_20230525.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2023/ndvi16_2023_20230525.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9551437497138977,0,0,270093,270093,424080,540186,127.37832484436899
data,ndvi16,2024,ndvi16_2024_20240101.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240101.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9521060585975647,0,0,265033,265033,424080,530066,124.991982644784
data,ndvi16,2024,ndvi16_2024_20240117.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240117.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9189954996109009,0,0,265313,265313,424080,530626,125.12403320128277
data,ndvi16,2024,ndvi16_2024_20240202.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240202.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9198055863380432,0,0,268393,268393,424080,536786,126.5765893227693
data,ndvi16,2024,ndvi16_2024_20240218.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240218.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8983393907546997,0,0,275106,275106,424080,550212,129.7425014148274
data,ndvi16,2024,ndvi16_2024_20240305.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240305.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8903402090072632,0,0,278904,278904,424080,557808,131.53367289190717
data,ndvi16,2024,ndvi16_2024_20240321.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240321.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.8846698999404907,0,0,275880,275880,424080,551760,130.10752688172042
data,ndvi16,2024,ndvi16_2024_20240406.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240406.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.9283110499382019,0,0,269561,269561,424080,539122,127.12742878702132
data,ndvi16,2024,ndvi16_2024_20240422.tif,/Users/sammit/Desktop/Projects/Prometheus/data_processed_normalized/ndvi16/2024/ndvi16_2024_20240422.tif,True,,float32,465,912,EPSG:4326,-9999.0,-9999.0,0.949878454208374,0,0,265484,265484,424080,530968,125.2046783625731
