latitude,longitude,acq_date,confidence
28.6379,80.1847,2025-03-30,91
27.956,82.0957,2025-03-30,69
27.541,84.6806,2025-03-30,96
27.7473,82.7224,2025-03-30,67
27.5504,84.6792,2025-03-30,91
27.5197,84.3578,2025-03-30,66
27.5234,84.3293,2025-03-30,63
27.5101,84.2207,2025-03-30,72
27.5177,85.0843,2025-03-30,73
27.4714,84.4095,2025-03-30,62
27.4227,84.5969,2025-03-30,58
27.4211,84.6068,2025-03-30,66
27.4134,84.6565,2025-03-30,68
27.3616,84.8723,2025-03-30,60
28.647,80.1829,2025-03-30,72
27.5518,84.6904,2025-03-30,100
28.6577,80.1917,2025-03-30,53
28.9197,80.1502,2025-03-30,81
29.3811,80.886,2025-03-30,72
28.6561,80.1811,2025-03-30,83
27.5045,84.7189,2025-03-30,50
27.9114,82.4704,2025-03-30,56
27.5927,83.9403,2025-03-30,54
27.2622,84.8239,2025-03-30,57
27.1486,84.9354,2025-03-30,60
28.9213,80.1643,2025-03-30,81
28.923,80.1785,2025-03-30,92
27.3002,84.8984,2025-03-30,56
27.2979,84.9035,2025-03-30,59
27.1509,84.9303,2025-03-30,59
27.5076,84.6907,2025-03-30,52
27.5349,84.4386,2025-03-30,60
27.367,82.1127,2025-03-30,50
27.28,85.3938,2025-03-30,56
27.1607,85.8423,2025-03-30,61
27.2882,84.8648,2025-03-30,57
27.1955,87.2516,2025-03-30,52
27.533,84.6932,2025-03-30,52
29.7571,80.7542,2025-03-30,65
27.357,83.5771,2025-03-30,58
27.5355,84.6918,2025-03-30,73
27.5279,84.4464,2025-03-30,54
29.9048,80.4275,2025-03-30,64
26.6438,88.1842,2025-03-31,76
27.528,84.3319,2025-03-31,73
26.6322,88.1742,2025-03-31,79
26.6341,88.1861,2025-03-31,83
27.9879,83.8784,2025-03-31,64
27.5922,83.91,2025-03-31,68
27.6669,84.2843,2025-03-31,69
27.5241,84.3118,2025-03-31,75
27.5392,84.4272,2025-03-31,65
27.5429,84.1271,2025-03-31,53
27.5316,84.4154,2025-03-31,93
27.2541,84.8063,2025-03-31,85
27.5191,84.3278,2025-03-31,74
27.5292,84.7219,2025-03-31,68
27.0827,82.6947,2025-03-31,71
27.4001,84.5387,2025-03-31,55
27.2423,84.8091,2025-03-31,65
29.0543,82.2932,2025-03-31,71
29.0475,82.2967,2025-03-31,87
28.7665,82.4969,2025-03-31,61
28.7601,82.5053,2025-03-31,63
26.6732,87.871,2025-03-31,57
27.5354,84.4351,2025-03-31,80
26.757,86.6252,2025-03-31,67
26.6418,88.1722,2025-03-31,72
26.9101,86.9697,2025-03-31,51
26.7502,86.6213,2025-03-31,65
27.2718,84.7756,2025-03-31,55
27.276,84.8363,2025-03-31,57
27.1539,87.6675,2025-03-31,66
27.4203,84.6522,2025-03-31,68
27.3133,84.8868,2025-03-31,84
27.2769,83.4332,2025-03-31,51
27.2485,84.8146,2025-03-31,91
27.2896,85.2832,2025-03-31,64
27.2931,85.3013,2025-03-31,62
27.2719,86.5678,2025-03-31,58
27.1193,85.9186,2025-03-31,55
27.2449,84.7955,2025-03-31,80
27.2577,87.1914,2025-03-31,54
27.0267,86.0454,2025-03-31,70
27.0295,86.0608,2025-03-31,66
27.0259,86.0507,2025-03-31,79
26.9409,86.2222,2025-03-31,64
26.9469,86.3164,2025-03-31,78
27.1634,87.5382,2025-03-31,75
26.926,86.385,2025-03-31,63
27.1536,87.6581,2025-03-31,88
27.1556,87.6695,2025-03-31,87
27.2679,87.1898,2025-03-31,61
29.8027,80.7987,2025-04-01,56
29.8041,80.8087,2025-04-01,74
29.658,80.126,2025-04-01,57
29.8478,82.1607,2025-04-01,100
28.5678,80.2606,2025-04-01,62
28.6799,81.461,2025-04-01,58
28.7003,81.3392,2025-04-01,59
28.597,80.5735,2025-04-01,65
28.7915,80.2763,2025-04-01,73
29.8403,82.1729,2025-04-01,92
28.8824,80.2621,2025-04-01,60
29.839,82.1628,2025-04-01,94
27.2904,86.5531,2025-04-01,61
29.5218,80.3309,2025-04-01,52
29.741,82.1241,2025-04-01,62
29.4263,80.8756,2025-04-01,57
28.9308,80.1536,2025-04-01,50
28.8925,80.1404,2025-04-01,70
29.1691,82.052,2025-04-01,50
28.8641,80.1415,2025-04-01,59
27.2262,85.372,2025-04-01,68
27.2037,85.4038,2025-04-01,80
27.1904,85.7466,2025-04-01,67
27.3192,84.8612,2025-04-01,72
27.1744,86.3266,2025-04-01,55
29.8492,82.1707,2025-04-01,100
27.3306,84.8722,2025-04-01,74
27.5177,84.6526,2025-04-01,70
27.1425,83.294,2025-04-01,81
27.7876,84.7691,2025-04-01,53
27.6111,83.7031,2025-04-01,58
27.6125,83.7142,2025-04-01,64
27.6351,83.9647,2025-04-01,52
27.5889,83.7525,2025-04-01,76
27.5903,83.7636,2025-04-01,61
27.696,84.6103,2025-04-01,51
27.6103,84.231,2025-04-01,58
27.5903,84.4103,2025-04-01,64
27.5332,84.3457,2025-04-01,82
27.5347,84.3577,2025-04-01,57
27.5284,84.3412,2025-04-01,77
27.5299,84.3531,2025-04-01,92
27.236,82.2888,2025-04-01,67
27.4493,83.9492,2025-04-01,58
27.5205,84.5144,2025-04-01,60
27.5351,84.7135,2025-04-01,54
27.0766,85.8535,2025-04-01,61
27.5275,84.817,2025-04-01,56
27.2944,83.6037,2025-04-01,78
27.3649,84.311,2025-04-01,59
27.3974,84.5756,2025-04-01,74
27.4471,84.9904,2025-04-01,63
27.3957,84.727,2025-04-01,55
27.4031,84.7896,2025-04-01,50
27.3693,84.7766,2025-04-01,59
27.0158,82.2279,2025-04-01,65
27.3291,84.8596,2025-04-01,85
27.2238,87.2636,2025-04-01,83
26.9853,87.475,2025-04-01,73
27.0111,86.2861,2025-04-01,68
27.6993,84.5975,2025-04-01,57
27.69,84.5993,2025-04-01,59
27.8256,85.6688,2025-04-01,50
27.5323,84.3098,2025-04-01,76
27.5375,84.4031,2025-04-01,100
27.4545,83.951,2025-04-01,75
27.5246,84.3825,2025-04-01,76
27.5727,84.8517,2025-04-01,65
27.4659,84.4129,2025-04-01,60
27.352,83.8913,2025-04-01,64
27.5487,85.1235,2025-04-01,76
27.5313,85.0719,2025-04-01,59
27.2161,85.0004,2025-04-01,70
27.5243,85.0785,2025-04-01,86
27.9809,84.4007,2025-04-01,73
27.6948,82.5083,2025-04-01,88
27.6315,83.9827,2025-04-01,100
27.9768,82.2773,2025-04-01,83
27.6295,83.9707,2025-04-01,100
27.636,83.9877,2025-04-01,98
27.6341,83.976,2025-04-01,100
27.6321,83.9638,2025-04-01,95
27.6551,83.9837,2025-04-01,91
27.8384,84.7141,2025-04-01,59
27.1763,85.8255,2025-04-01,59
27.7975,84.7672,2025-04-01,88
27.4053,84.4314,2025-04-01,76
27.2251,87.2734,2025-04-01,99
27.2145,84.9896,2025-04-01,72
27.2378,85.0185,2025-04-01,72
27.1549,87.3022,2025-04-01,89
27.1461,87.3038,2025-04-01,84
27.1627,87.6239,2025-04-01,66
26.9473,86.2318,2025-04-01,57
26.9174,86.4013,2025-04-01,63
26.8796,86.4654,2025-04-01,90
26.881,86.4753,2025-04-01,81
26.8824,86.4854,2025-04-01,68
26.8602,86.5197,2025-04-01,95
26.8497,86.5724,2025-04-01,82
26.7797,86.601,2025-04-01,74
26.9073,87.6453,2025-04-01,97
27.2394,85.0293,2025-04-01,56
26.7486,86.6369,2025-04-01,72
26.708,86.8727,2025-04-01,68
27.4039,84.7883,2025-04-01,69
27.3772,84.8451,2025-04-01,58
27.3438,84.8743,2025-04-01,74
27.3523,84.9293,2025-04-01,67
27.354,84.9402,2025-04-01,68
27.3322,84.9217,2025-04-01,57
27.3574,85.0835,2025-04-01,60
27.323,84.9234,2025-04-01,78
27.2968,84.9228,2025-04-01,77
27.308,85.2409,2025-04-01,58
27.2996,85.3079,2025-04-01,60
26.75,86.6468,2025-04-01,69
27.7961,84.7556,2025-04-01,70
27.3468,84.4891,2025-04-01,78
27.6119,83.2165,2025-04-01,96
27.2825,86.574,2025-04-01,66
27.3939,87.6314,2025-04-01,60
27.1788,85.7447,2025-04-01,63
27.1193,85.3209,2025-04-01,85
27.1092,85.3224,2025-04-01,56
27.1355,85.8011,2025-04-01,70
27.0953,85.8219,2025-04-01,65
26.5021,81.3511,2025-04-01,59
26.7756,83.3046,2025-04-01,70
27.0696,85.783,2025-04-01,62
27.0938,85.9994,2025-04-01,68
27.0218,85.6957,2025-04-01,59
27.2806,86.557,2025-04-01,90
27.0281,86.0294,2025-04-01,81
27.039,87.4921,2025-04-01,78
27.041,87.5113,2025-04-01,62
27.0202,87.6608,2025-04-01,56
26.8345,86.4625,2025-04-01,67
26.7803,86.5881,2025-04-01,72
26.7508,86.6246,2025-04-01,75
26.7924,87.0038,2025-04-01,56
27.0841,87.52,2025-04-01,53
27.0298,86.0445,2025-04-01,93
27.1809,87.6884,2025-04-01,56
27.1455,87.3092,2025-04-01,53
27.0066,86.2691,2025-04-01,51
27.0507,87.4893,2025-04-01,83
27.1314,87.628,2025-04-01,72
27.1412,85.3311,2025-04-01,57
27.3448,86.8315,2025-04-01,70
27.6133,83.2272,2025-04-01,83
28.4689,80.7284,2025-04-01,80
28.3852,80.7898,2025-04-01,67
27.2868,86.5686,2025-04-01,59
27.6345,83.9695,2025-04-01,68
27.5037,84.6873,2025-04-01,70
28.2309,84.1782,2025-04-01,65
28.1128,81.0547,2025-04-01,55
27.6394,83.9644,2025-04-01,57
27.5196,84.5223,2025-04-01,55
27.528,84.4128,2025-04-01,69
27.5334,84.3202,2025-04-01,58
27.145,85.2763,2025-04-01,84
27.7301,82.893,2025-04-01,55
27.3297,84.8697,2025-04-01,64
27.2694,84.817,2025-04-01,58
27.2458,84.8403,2025-04-01,75
27.2315,84.8043,2025-04-01,76
27.2532,85.0731,2025-04-01,56
27.2228,84.9151,2025-04-01,61
27.2244,84.9277,2025-04-01,75
27.2223,84.993,2025-04-01,76
27.2123,84.9946,2025-04-01,61
27.2495,85.3906,2025-04-01,80
27.2559,85.4453,2025-04-01,50
27.1779,84.961,2025-04-01,63
27.4124,84.5389,2025-04-01,68
27.1337,87.6505,2025-04-01,95
28.4674,80.7385,2025-04-01,77
27.3039,84.7419,2025-04-01,52
27.907,81.874,2025-04-01,64
27.9695,82.3875,2025-04-01,51
28.1104,83.4426,2025-04-01,53
27.9643,82.4829,2025-04-01,80
27.9485,82.4334,2025-04-01,61
27.9651,82.556,2025-04-01,50
27.9755,83.0404,2025-04-01,67
27.9769,83.0508,2025-04-01,63
27.9891,83.2136,2025-04-01,73
27.9904,83.2238,2025-04-01,67
28.2232,85.0913,2025-04-01,65
27.8855,82.5764,2025-04-01,63
27.9855,80.51,2025-04-01,66
27.7111,81.9217,2025-04-01,89
27.6931,82.5177,2025-04-01,89
27.6429,82.3501,2025-04-01,75
27.369,80.6013,2025-04-01,54
27.6826,82.8534,2025-04-01,57
27.5881,82.4286,2025-04-01,69
27.6103,82.5914,2025-04-01,53
27.5893,82.7058,2025-04-01,72
27.5907,82.7161,2025-04-01,78
27.7548,84.1016,2025-04-01,57
27.8306,84.7084,2025-04-01,69
27.675,83.6282,2025-04-01,67
27.8808,85.209,2025-04-01,76
27.7125,81.9317,2025-04-01,69
28.2994,81.6993,2025-04-01,50
28.0178,82.196,2025-04-01,60
28.3539,81.5,2025-04-01,80
27.3179,84.8541,2025-04-01,74
27.3195,84.8666,2025-04-01,72
27.3157,85.1694,2025-04-01,61
27.2519,84.7249,2025-04-01,73
27.2747,84.9125,2025-04-01,75
27.2406,84.7141,2025-04-01,95
27.0217,83.073,2025-04-01,90
27.0231,83.0834,2025-04-01,99
28.5465,80.6094,2025-04-01,67
28.548,80.6194,2025-04-01,62
