feature,year,n_files,dtype,crs,nodata,count,min,max,mean,std,p01,p05,p50,p95,p99
ndvi16,2023,10,float32,EPSG:4326,-9999.0,1680640,-1933.0,9530.0,4467.06363647182,2474.3729939451878,-527.0,-279.0,5169.0,7547.0,8162.0
ndvi16,2024,10,float32,EPSG:4326,-9999.0,1680640,-1913.0,9403.0,4545.279047862719,2425.6594904609938,-445.0,-155.0,5151.0,7650.0,8236.0
ndvi16,2025,10,float32,EPSG:4326,-9999.0,1680640,-1996.0,9461.0,4669.851058525323,2430.632623941414,-492.0,-178.0,5342.0,7666.0,8201.0
precip16,2018,10,float32,EPSG:4326,-9999.0,1680640,0.014721140265464783,573.11767578125,37.28389100714294,50.062437045478816,0.25024887919425964,1.131846308708191,19.657291412353516,133.27854919433594,246.0238800048828
precip16,2019,10,float32,EPSG:4326,-9999.0,1680640,0.0077214594930410385,685.3645629882812,41.58443357846533,43.849133271606696,0.1545872986316681,1.3341333866119385,29.49042510986328,114.47998046875,188.92437744140625
precip16,2020,10,float32,EPSG:4326,-9999.0,1680640,0.07100154459476471,640.3677368164062,49.15733771328381,46.54434030259254,0.6574901342391968,2.818209409713745,37.37038040161133,137.07008361816406,209.5294647216797
precip16,2021,10,float32,EPSG:4326,-9999.0,1680640,0.011142801493406296,586.9051513671875,45.81911609300064,56.74119239824664,0.22519512474536896,0.801635205745697,21.027868270874023,157.686279296875,237.42335510253906
precip16,2022,10,float32,EPSG:4326,-9999.0,1680640,0.019356325268745422,721.7011108398438,41.38240793710569,50.58603665299166,0.10337920486927032,1.0765490531921387,25.99433708190918,135.05491638183594,232.05467224121094
precip16,2023,10,float32,EPSG:4326,-9999.0,1680640,0.01521923765540123,504.43023681640625,31.36197841014439,39.31552471376523,0.08608916401863098,0.40225455164909363,19.096220016479492,98.3903579711914,177.80726623535156
precip16,2024,10,float32,EPSG:4326,-9999.0,1680640,0.007320605684071779,615.8971557617188,28.44791212773879,38.720781424948015,0.10748621076345444,0.5149182677268982,15.611042022705078,101.71722412109375,184.82968139648438
precip16,2025,10,float32,EPSG:4326,-9999.0,1680640,0.01545801293104887,632.5692749023438,39.0454976592343,51.09644653766366,0.06959819048643112,0.5174955725669861,22.396984100341797,128.44334411621094,228.03033447265625
rh16,2018,10,float32,EPSG:4326,-9999.0,1680640,16.67592430114746,95.60448455810547,63.47471241301602,12.759525663981561,32.537776947021484,42.12031173706055,63.84103012084961,82.44237518310547,86.50494384765625
rh16,2019,10,float32,EPSG:4326,-9999.0,1680640,28.341995239257812,95.45430755615234,63.71473492448192,11.074364590562482,34.7299919128418,42.88755416870117,65.0105209350586,79.7436294555664,86.14724731445312
rh16,2020,10,float32,EPSG:4326,-9999.0,1680640,23.366018295288086,93.24298095703125,68.2453283558206,11.380073891394686,35.34598159790039,47.368019104003906,69.29518127441406,83.96724700927734,87.64193725585938
rh16,2021,10,float32,EPSG:4326,-9999.0,1680640,21.601421356201172,97.58494567871094,63.28657041035553,14.49179554059788,31.70873260498047,36.720455169677734,64.6029052734375,85.26152038574219,90.17752838134766
rh16,2022,10,float32,EPSG:4326,-9999.0,1680640,27.622404098510742,96.17547607421875,66.86929685741958,12.271660361125555,40.5093879699707,46.09761428833008,67.11033630371094,84.70775604248047,89.9049072265625
rh16,2023,10,float32,EPSG:4326,-9999.0,1680640,19.38633918762207,96.51451873779297,62.88027300064176,12.560243516803082,29.089506149291992,39.9337043762207,64.2120132446289,81.03206634521484,87.1418228149414
rh16,2024,10,float32,EPSG:4326,-9999.0,1680640,22.67759132385254,95.19955444335938,60.78546077784857,14.117324201217077,27.084444046020508,32.68841552734375,62.46390151977539,80.26912689208984,86.59404754638672
rh16,2025,10,float32,EPSG:4326,-9999.0,1680640,23.129411697387695,95.59838104248047,65.24200897603909,12.748728543669637,35.140106201171875,41.479103088378906,66.15674591064453,83.95681762695312,88.76221466064453
slope,static,1,float32,EPSG:4326,-9999.0,168056,0.0,71.93864440917969,11.3368427112492,8.566346959472316,0.04356129467487335,0.11399823799729347,10.663527965545654,26.702738285064697,33.52206573486331
temp16,2018,10,float32,EPSG:4326,-9999.0,1680640,-22.634756088256836,32.835235595703125,10.593870980626386,11.986642771466936,-16.694835662841797,-12.126606941223145,12.771383285522461,27.107131958007812,29.895729064941406
temp16,2019,10,float32,EPSG:4326,-9999.0,1680640,-25.24575424194336,32.92648696899414,9.547733910420764,13.135330212578896,-19.730392456054688,-15.47966194152832,12.305181503295898,28.486722946166992,31.16287612915039
temp16,2020,10,float32,EPSG:4326,-9999.0,1680640,-26.252214431762695,31.846710205078125,8.887941897608531,12.669764173390133,-20.048555374145508,-15.161827087402344,11.612866401672363,26.40522575378418,29.17395782470703
temp16,2021,10,float32,EPSG:4326,-9999.0,1680640,-23.354509353637695,29.743383407592773,10.5449322910801,11.816545310387998,-16.20918846130371,-11.278334617614746,13.040964126586914,26.46990966796875,28.152477264404297
temp16,2022,10,float32,EPSG:4326,-9999.0,1680640,-25.79599952697754,30.98297882080078,10.196114079051382,12.722174151158645,-20.615446090698242,-15.137099266052246,12.291651725769043,27.805809020996094,29.524744033813477
temp16,2023,10,float32,EPSG:4326,-9999.0,1680640,-23.534244537353516,31.96141815185547,10.124451461661636,12.262022063000776,-17.05364418029785,-12.203285217285156,12.770452499389648,27.617385864257812,29.887052536010742
temp16,2024,10,float32,EPSG:4326,-9999.0,1680640,-22.980281829833984,35.19133377075195,10.707267670471804,12.891729339992496,-17.894941329956055,-13.698680877685547,12.7609224319458,29.397781372070312,32.63615798950195
temp16,2025,10,float32,EPSG:4326,-9999.0,1680640,-24.195039749145508,31.708635330200195,11.19047173350161,11.830665344709542,-16.43523406982422,-11.874671936035156,13.53567886352539,27.36637306213379,29.749258041381836
vpd16,2018,10,float32,EPSG:4326,-9999.0,1680640,0.02919834665954113,2.9079372882843018,0.6156109127488383,0.5177250856828273,0.059901438653469086,0.08744240552186966,0.4385470151901245,1.7470368146896362,2.16314959526062
vpd16,2019,10,float32,EPSG:4326,-9999.0,1680640,0.022395126521587372,3.482628583908081,0.6323300018758713,0.6185874631445335,0.04039934650063515,0.06697090715169907,0.42651939392089844,2.001352310180664,2.803102493286133
vpd16,2020,10,float32,EPSG:4326,-9999.0,1680640,0.019927138462662697,2.3410792350769043,0.4933555857962358,0.46056832124768626,0.04324456304311752,0.06728237867355347,0.3235560953617096,1.5475183725357056,2.052961587905884
vpd16,2021,10,float32,EPSG:4326,-9999.0,1680640,0.02188715524971485,2.8141062259674072,0.6220343742667697,0.5589547293251194,0.05116863548755646,0.0790608748793602,0.4371373951435089,1.9155875444412231,2.4397635459899902
vpd16,2022,10,float32,EPSG:4326,-9999.0,1680640,0.020574819296598434,2.4924912452697754,0.5648267256005547,0.5200296009870042,0.04458365589380264,0.07114708423614502,0.34902235865592957,1.721328854560852,2.125737428665161
vpd16,2023,10,float32,EPSG:4326,-9999.0,1680640,0.026541024446487427,3.481665849685669,0.6483152288379351,0.599482903799676,0.04908515885472298,0.0718299150466919,0.4556204378604889,1.9216781854629517,2.746346950531006
vpd16,2024,10,float32,EPSG:4326,-9999.0,1680640,0.027239099144935608,3.822453022003174,0.7442905469638833,0.7331661318822156,0.05286581069231033,0.08095946907997131,0.4509070813655853,2.404142379760742,3.078388214111328
vpd16,2025,10,float32,EPSG:4326,-9999.0,1680640,0.026676861569285393,2.440948724746704,0.5933182917297332,0.484313945864736,0.05727596953511238,0.0927390307188034,0.4378618001937866,1.6136785745620728,2.141422748565674
